pageid,qid,P21,P27,P106,label_en
81249862,Q136432598,['Q6581097'],[],[],Abnildo do Nascimento d'Oliveira
81249886,Q136432337,['Q6581097'],['Q265'],"['Q114414171', 'Q4009406']",Fakhriddin Khamraev
81249887,Q30099235,['Q6581072'],['Q142'],['Q2309784'],Marine Cabirou
81249983,Q100924084,['Q6581097'],['Q159'],"['Q82955', 'Q17276321']",
81250072,Q136432737,['Q6581072'],[],[],Nancy Kilgas
81250105,Q13017270,['Q6581097'],['Q869'],[],Pra Kroo Garuna Wihari
81250158,Q5953105,['Q6581097'],['Q96'],['Q82955'],Juan de Dios Bojórquez
81250190,Q136432738,['Q6581072'],[],['Q82955'],Sue Gottling
81250195,Q2493351,['Q6581072'],['Q29999'],"['Q2159907', 'Q1397808', 'Q15253558']",Julia op ten Noort
81250238,Q136432739,['Q6581097'],[],['Q12299841'],Navin Bidaisee
81250246,Q13023324,['Q6581097'],[],[],Luang Phu Thong Ayana
81250283,Q131323308,['Q6581097'],['Q183'],['Q11513337'],Max Marzillier
81250295,Q114346146,['Q6581072'],['Q38'],['Q14089670'],Beatrice Capomaggi
81250442,Q16861857,['Q6581072'],['Q29'],"['Q1028181', 'Q15296811', 'Q583271', 'Q2518689']",Josefa Tolrà i Abril
81250480,Q136432819,['Q6581072'],[],['Q82955'],Catt Sandler
81250486,Q136432304,['Q6581072'],['Q30'],['Q11338576'],Phyllis Kugler
81250534,Q85853075,['Q6581097'],[],"['Q779815', 'Q266569']",Jiao Yesong
81250544,Q136433004,['Q6581072'],[],['Q82955'],Susan Homola
81250547,Q114346117,['Q6581072'],['Q38'],['Q14089670'],Emanuela Stecca
81250572,Q5798758,['Q6581097'],['Q298'],['Q937857'],Daniel Vicencio
81250583,Q136433002,['Q6581097'],[],['Q19204627'],Keenan Garber
81250592,Q136432999,['Q6581072'],[],['Q82955'],Gail Sanborn
81250599,Q136432997,['Q6581097'],[],['Q11338576'],Dickie Hanna
81250600,Q15819125,['Q6581097'],['Q948'],"['Q185992', 'Q82955']",Hamda Saied
81250602,Q136432992,['Q6581097'],[],[],Leo Gallagher
81250643,Q136433303,['Q6581072'],[],[],Susmitha Prabhakaran
81250761,Q102226130,['Q6581072'],[],['Q752129'],Mirjana Vukićević-Karabin
81250773,Q121355674,['Q6581097'],['Q414'],['Q937857'],Santiago Montiel
81250794,Q136432986,['Q6581097'],[],['Q18524075'],Les Presmyk
81250811,Q13023345,['Q6581097'],['Q869'],[],
81250862,Q126076149,['Q6581072'],"['Q7318', 'Q1206012']",[],Ilse Staiger
81250917,Q136432983,['Q6581072'],[],['Q1930187'],Meagan Fitzgerald
81250959,Q133483751,['Q6581072'],['Q38'],['Q14089670'],Alia Bitonci
81251063,Q4267705,['Q6581097'],['Q869'],['Q854997'],Phrakhrū Wisutthiwongsāčhānyānnamunī
81251166,Q13017537,['Q6581097'],['Q869'],[],Phra Pha Wanagosalthara
81251186,Q130211589,['Q6581072'],['Q916'],['Q11513337'],Juliana Ngleya Moko
81251241,Q136433136,['Q6581097'],[],['Q11338576'],Ossie Higgins
81251244,Q61117717,['Q6581097'],[],[],
81251277,Q6504504,['Q6581097'],['Q414'],"['Q82955', 'Q1930187', 'Q40348']",Juan Stefanich
81251301,Q109278899,['Q6581097'],['Q183'],['Q82955'],Martin Schmidt
81251397,Q136433134,['Q6581097'],[],['Q11338576'],Roger Pleace
81251447,Q63437235,['Q6581072'],['Q794'],"['Q33231', 'Q957729']",Forough Alaei
81251479,Q9175786,['Q6581097'],['Q36'],['Q33999'],Bogusław Kaczmarczyk
81251488,Q136433300,['Q6581097'],[],['Q937857'],Zahid Luqman
81251506,Q135885106,['Q6581072'],['Q38'],['Q14089670'],Gaia Buso
81251509,Q136433299,['Q6581072'],[],[],Shirley Ann Bruce Darrell
81251524,Q136437406,['Q6581097'],[],[],Jonathan B. Baer
81251567,Q136433293,['Q6581097'],[],['Q82955'],Giriraj Prasad Tiwari
81251693,Q19973604,['Q6581097'],['Q77'],"['Q1930187', 'Q36834']",Andrés Torrón
81251741,Q136433289,['Q6581072'],[],[],Winonah Leah Monroney Sanger
81251802,Q21208793,['Q6581097'],['Q38'],"['Q806798', 'Q2961975']",Marco Morelli
81251886,Q124094636,['Q6581072'],[],"['Q81096', 'Q1906857']",Michele H. Miller
81251910,Q13023363,[],['Q869'],[],
81251916,Q813152,['Q6581072'],"['Q145', 'Q183']","['Q7541856', 'Q483501']",Beate Kuhn
81252077,Q136433439,['Q6581097'],[],['Q378622'],Kyle Dudley
81252083,Q75292317,['Q6581072'],['Q145'],['Q17488316'],Joanne Elizabeth Cutler
81252117,Q136433438,['Q6581097'],[],[],Arvind S Kashyap
81252136,Q136430304,['Q6581097'],[],[],Alessandro Marocco
81252175,Q136349510,['Q6581097'],[],['Q82955'],Madan Prasad Pariyar
81252176,Q15713960,['Q6581097'],[],['Q193391'],Arne Fältheim
81252333,Q121820018,['Q6581072'],['Q29999'],"['Q11513337', 'Q25439032']",Kiki Hendriks
81252346,Q130458747,['Q6581097'],['Q183'],"['Q82955', 'Q40348']",Christopher Salm
81252503,Q23565989,['Q6581097'],['Q183'],['Q82955'],Ulrich Siegmund
81252545,Q136437008,['Q6581097'],[],[],Andrés Mosquera
81252627,Q1878684,['Q6581072'],"['Q183', 'Q16957']","['Q211346', 'Q1622272', 'Q783906', 'Q2920595']",Lykke Aresin
81252640,Q136433569,['Q6581097'],[],['Q49757'],Keningale Robert Cook
81252698,Q134339131,['Q6581097'],"['Q29', 'Q717']",['Q937857'],Martín Cuéllar
81252706,Q136433701,['Q6581097'],[],"['Q644687', 'Q33999', 'Q43845', 'Q1028181']",Stephen Q. Luckett
81252746,Q130384680,['Q6581072'],['Q183'],"['Q82955', 'Q185351']",Vivien Rottstedt
81252783,Q136437404,['Q6581072'],[],[],K.T. Stefanova
81252805,Q110028475,['Q6581097'],['Q77'],['Q33999'],Néstor Guzzini
81252818,Q59247752,['Q6581097'],['Q155'],['Q82955'],Jeferson Andrade
81252882,Q3510256,['Q6581097'],['Q142'],"['Q82955', 'Q201788']",Sébastien Pietrasanta
81252888,Q136433621,['Q6581072'],['Q30'],['Q974144'],Ima Winchell Stacy
81252949,Q136434104,['Q6581097'],['Q30'],"['Q3665646', 'Q5137571']",Mickey Fox
81252951,Q66663396,['Q6581097'],['Q29'],['Q82955'],
81252999,Q136433698,['Q6581097'],[],[],Max Rohn
81253400,Q136433771,['Q6581097'],[],['Q378622'],Bryce Applegate
81253423,Q96694518,['Q6581072'],['Q756617'],['Q937857'],Selma Svendsen
81253432,Q61117780,['Q6581097'],[],[],
81253552,Q136433852,['Q6581097'],[],['Q19204627'],King Ambers
81253737,Q25539994,['Q6581097'],[],[],
81253785,Q105734296,['Q6581097'],[],['Q937857'],Byron Bustamante
81253810,Q20563547,['Q6581097'],['Q869'],['Q1135621'],
81253816,Q136433845,['Q6581097'],[],['Q378622'],Michael Bumgarner
81254160,Q136447002,[],[],[],Au Chun-wah
81254243,Q15951853,['Q6581097'],[],"['Q82955', 'Q36180']",Bosone da Gubbio
81254303,Q13017324,['Q6581097'],['Q869'],[],Luang Phor Tha
81254359,Q18342901,['Q6581072'],['Q1054923'],['Q10800557'],Doris Chow
81254381,Q136433952,['Q6581097'],[],['Q378622'],T. J. DeCaire
81254735,Q136434025,['Q6581097'],['Q145'],['Q114414171'],Gavin Drysdale
81254854,Q136434074,['Q6581097'],['Q17'],['Q114414171'],Natsuki Toda
81254873,Q136434101,['Q6581097'],['Q784'],"['Q82955', 'Q13582652']",Delbert Paris
81255208,Q136434351,['Q6581097'],[],[],Erfan Bondori Deraznoei
81255209,Q136434350,['Q6581097'],['Q794'],[],Ali Baziyarshoorijeh
81255269,Q133836210,['Q6581097'],['Q36'],['Q131524'],Waldemar Stasiak
81255336,Q113451845,['Q6581097'],[],['Q212238'],Mohd Shafiq Abdullah
81255415,Q136434408,['Q6581097'],['Q145'],['Q114414171'],Rafi Solaiman
81255750,Q136434662,['Q6581072'],[],[],Afzaa Fadini Abdul Aziz
81255770,Q136170844,['Q6581072'],['Q30'],"['Q26481809', 'Q167199']",Elise Seignolle
81255814,Q136436980,['Q6581072'],[],['Q937857'],Melissa Behinan
81255852,Q109288296,['Q6581097'],['Q17'],"['Q2526255', 'Q28389']",Akio Fujimoto
81255956,Q114270313,['Q6581097'],['Q29'],"['Q937857', 'Q628099']",Miguel Corral
81256103,Q107452316,['Q6581097'],['Q29'],['Q193391'],Camilo Barcia García-Villamil
81256110,Q530810,['Q6581072'],['Q30'],"['Q33999', 'Q10798782', 'Q10800557']",Sarah Laine
81256157,Q136435479,['Q6581097'],[],[],Shuja Asad
81256162,Q136435474,['Q6581097'],[],['Q39631'],Hakim Daud
81256231,Q136434673,['Q6581072'],['Q1020'],['Q82955'],Catherine Mzumara
81256258,Q135067621,['Q6581097'],['Q902'],['Q33999'],Fs Nayeem
81256274,Q125985662,['Q6581097'],['Q213'],"['Q193391', 'Q82955']",Jaroslav Knot
81256317,Q136435524,['Q6581072'],[],['Q1930187'],Svetlana Khustik
81256376,Q119728050,['Q6581072'],['Q21'],[],Steffi Klenz
81256388,Q136436366,['Q6581097'],[],"['Q222344', 'Q33231']",Jehangir Choudhary
81256392,Q136436363,['Q6581097'],[],[],Ambrose Hawkins
81256415,Q136436361,['Q6581072'],[],['Q39631'],Bola Owolabi
81256456,Q95211149,['Q6581072'],['Q212'],['Q24037210'],Yana Yarosh
81256507,Q112194851,['Q6581097'],"['Q142', 'Q1028']",['Q937857'],Naïm Byar
81256508,Q55699616,['Q6581097'],['Q145'],"['Q1225716', 'Q16060693']",Willoughby Prescott Lowe
81256546,Q2925480,['Q6581072'],['Q142'],['Q947873'],Brigitte Simonetta
81256605,Q136436497,['Q6581097'],[],['Q81096'],Mazen Kalassina
81256610,Q136436494,['Q6581097'],[],['Q10843402'],Athole Still
81256659,Q136436491,['Q6581072'],[],[],Cathy Schmidt
81256664,Q136441791,['Q6581097'],[],['Q82594'],Philip Treleaven
81256666,Q136437411,['Q6581097'],[],[],Roman Holobutovskyy
81256729,Q130069455,['Q6581072'],['Q142'],['Q25439032'],Tiffany Logette-Lods
81256813,Q125915590,['Q6581097'],['Q183'],"['Q82955', 'Q694579']",Florian Köhler
81256850,Q130382483,['Q6581097'],['Q183'],['Q82955'],Jonas Dünzel
81256858,Q136436809,['Q6581097'],[],['Q19204627'],Mason Heintschel
81256860,Q136436807,['Q6581097'],[],['Q937857'],Jarvis Thornton
81257059,Q110109671,['Q6581072'],[],['Q11966252'],"Sangduen ""Lek"" Chailert"
81257064,Q118744790,['Q6581097'],[],['Q82955'],Senihad Sator
81257120,Q21091984,['Q6581072'],"['Q15180', 'Q159']",['Q33999'],Antonina Vvedenskaya
81257162,Q67073310,['Q6581097'],[],['Q82955'],Julian Brüning
81257183,Q94788991,['Q6581097'],"['Q183', 'Q7318']","['Q185351', 'Q1937003']",Georg Gassner
81257234,Q79225676,['Q6581097'],['Q142'],['Q16004471'],Mathurin Madore
81257333,Q108707139,['Q6581097'],[],['Q82955'],Michel-Friedrich Schiefler
81257363,Q117037272,['Q6581072'],['Q38'],"['Q14089670', 'Q694748']",Laura Gurioli
81257397,Q125807630,['Q6581097'],['Q213'],"['Q13382566', 'Q16004471']",Matyáš Novák
81257440,Q136436996,['Q6581097'],[],['Q10871364'],Ted Keller
81257461,Q20041361,['Q6581097'],[],['Q47064'],
81257536,Q114562349,['Q6581097'],['Q183'],['Q82955'],Thore Güldner
81257574,Q111446981,['Q6581072'],[],['Q82955'],Alexandra Becker
81257590,Q136437099,['Q6581097'],[],['Q13381863'],Roger Maunder
81257651,Q26799517,['Q6581097'],['Q155'],"['Q12765408', 'Q1622272']",Amilcar Tanuri
81257728,Q134087135,['Q6581072'],['Q39'],['Q15117302'],Rebekka Hauri
81257801,Q135722394,['Q6581072'],['Q183'],['Q82955'],
81258013,Q74375206,['Q6581097'],['Q39'],['Q2066131'],Fabian Blum
81258055,Q100767182,['Q6581097'],['Q664'],['Q3665646'],Flynn Cameron
81258164,Q136437431,['Q6581097'],[],[],Vincenzo Romeo
81258429,Q56794616,['Q6581097'],['Q16'],['Q350979'],John S. Richardson
81258492,Q22668416,['Q6581097'],['Q34'],['Q193391'],Erik von Sydow
81258588,Q136441792,[],[],[],Amir Behrouz
81258590,Q136437510,['Q6581097'],['Q668'],['Q114414171'],Pardeep Kumar
81258658,Q136437648,['Q6581097'],[],"['Q5716684', 'Q28971125', 'Q33999']",Tre' Booker
81258762,Q134534573,['Q6581072'],[],['Q3578589'],
81258835,Q122982216,['Q6581097'],['Q183'],"['Q82955', 'Q185351']",Lucas Schmitz
81258912,Q114597367,['Q6581097'],['Q183'],['Q82955'],Nico Bloem
81258937,Q136437800,['Q6581097'],[],[],Pak Myong-jin
81259006,Q30118593,['Q6581072'],['Q142'],"['Q11063', 'Q104042305']",Suzanne Débarbat
81259033,Q135742538,['Q6581097'],['Q183'],['Q82955'],
81259094,Q136437797,['Q6581072'],[],"['Q28971125', 'Q2490358', 'Q5716684']",Chandalae Lanouette
81259115,Q136437795,['Q6581072'],[],['Q11569986'],Helen Louise Beccard Niles
81259131,Q114054583,['Q6581072'],['Q159'],"['Q1930187', 'Q217105']",Maria Ponomarenko
81259135,Q65718439,['Q6581097'],['Q45'],['Q11513337'],Nuno Pereira
81259503,Q131690905,['Q6581097'],['Q183'],['Q109459317'],Dystrix
81259653,Q15069800,['Q6581097'],"['Q142', 'Q1028']","['Q1930187', 'Q1414443', 'Q28389', 'Q2526255']",Hicham Ayouch
81259670,Q130382492,['Q6581072'],['Q183'],['Q82955'],Elaine Jentsch
81259758,Q123822423,['Q6581097'],['Q183'],['Q82955'],Pascal Schleich
81259861,Q111395784,['Q6581072'],['Q183'],['Q82955'],Julia Harenz
81259885,Q136102738,['Q6581072'],"['Q142', 'Q174193']","['Q37226', 'Q131821805', 'Q28692502']",
81259904,Q136438208,['Q6581097'],[],['Q937857'],Vicente Durán
81259910,Q128123377,['Q6581097'],['Q29'],['Q937857'],Julio Díaz
81259944,Q136438206,['Q6581097'],[],['Q19204627'],Vyshonne Janusas
81259981,Q28540455,['Q6581072'],"['Q172579', 'Q38', 'Q414']","['Q36180', 'Q131524']",Vera Vigevani Jarach
81259989,Q136438383,['Q6581097'],[],[],Balthasar von Thannhausen
81259996,Q42303144,['Q6581097'],['Q183'],['Q82955'],Philipp Raulfs
81260009,Q136438379,['Q6581097'],[],[],Shaun Hergatt
81260032,Q136438378,['Q6581097'],[],[],Bahman Choubi-asl
81260062,Q136440729,['Q6581097'],[],['Q19204627'],Vershon Lee
81260070,Q136438377,['Q6581097'],[],['Q42603'],John Stuart Verschoyle
81260102,Q10312328,['Q6581097'],['Q155'],"['Q1930187', 'Q82955']",João Vítor Xavier
81260133,Q136438374,['Q6581097'],[],['Q937857'],Ronaldy
81260183,Q3362584,['Q6581072'],['Q142'],['Q82955'],Paola Zanetti
81260205,Q15921741,['Q6581097'],['Q258'],['Q33999'],James Norval
81260265,Q136438372,['Q6581097'],[],['Q82955'],Isaac Claver
81260292,Q136438371,['Q6581097'],[],[],Mark Adam Boland
81260315,Q15921742,['Q6581072'],['Q258'],['Q33999'],Anna Cloete
81260465,Q136438536,['Q6581097'],[],"['Q245068', 'Q33999']",Vikkals Vikram
81260697,Q130468151,['Q6581072'],['Q30'],['Q169470'],Helen S. Hopfield
81260877,Q124094661,['Q6581072'],[],"['Q1622272', 'Q81096', 'Q10497074']",Anne Spence
81261499,Q92729252,['Q6581097'],['Q30'],['Q488111'],Jake Adams
81261500,Q136438752,['Q6581097'],[],[],Levin Moreno
81261511,Q133833582,['Q6581072'],['Q881'],['Q2526255'],Đặng Thái Huyền
81261714,Q136438852,['Q6581097'],[],['Q82955'],Frank Nicastro
81262000,Q136438851,['Q6581097'],[],['Q82955'],Casey Conley
81262102,Q136438832,['Q6581072'],['Q408'],"['Q4009406', 'Q114414171']",Lexie Brown
81262118,Q136438850,['Q6581072'],[],['Q82955'],Ariel Oxaal
81262136,Q135269651,['Q6581097'],['Q236'],['Q937857'],Andrej Kostić
81262181,Q136160226,[],['Q833'],"['Q599151', 'Q82955']",
81262378,Q136438901,['Q6581097'],[],['Q4009406'],Nathan Jason
81262454,Q136438900,['Q6581072'],[],['Q4009406'],Akeesha Snowden
81262558,Q136438897,['Q6581072'],[],['Q82955'],Donna Ellis
81262640,Q3341689,['Q6581097'],['Q34266'],"['Q36180', 'Q10429346', 'Q33386280', 'Q15143191']",Nikolai Rubakin
81262655,Q136438896,['Q6581097'],[],['Q19204627'],Justin Jefferson
81262704,Q136438895,['Q6581072'],[],['Q82955'],Erika Conners
81262906,Q136438982,['Q6581072'],[],['Q82955'],Polly Campion
81262961,Q136439115,[],[],"['Q82955', 'Q1930187']",Navneet Chaturvedi
81263026,Q16981465,['Q6581097'],['Q33'],['Q11513337'],Teijo Kööpikkä
81263078,Q136438978,['Q6581097'],[],['Q19204627'],Tae Johnson
81263282,Q12215530,['Q6581097'],[],['Q12859263'],Sahban Wa'il
81263320,Q10304188,['Q6581097'],['Q155'],['Q937857'],Itamar Antônio Bellasalma
81263336,Q101130420,['Q6581097'],['Q38'],['Q2309784'],Filippo Agostinacchio
81263508,Q136447079,['Q6581072'],[],[],Swathy Nithyanand
81263547,Q136432770,['Q6581097'],['Q142'],"['Q1930187', 'Q33231']",Antoni Lallican
81263563,Q136439052,['Q6581097'],[],"['Q47064', 'Q19204627']",King Dixon
81263571,Q61088629,['Q6581097'],['Q833'],"['Q33999', 'Q177220']",Amir Masdi
81263725,Q20562233,['Q6581097'],['Q668'],['Q222344'],
81263778,Q136439210,['Q6581097'],[],"['Q49757', 'Q36180']",Božić Božićević
81263807,Q120059,['Q6581097'],['Q183'],"['Q1792450', 'Q11486702', 'Q15980158']",Hanno Hahn
81263873,Q136439208,['Q6581097'],[],[],Aleksandr Khrupin
81263910,Q136439204,['Q6581072'],[],[],Mildred McAdory
81263917,Q27758143,['Q6581097'],['Q408'],['Q6625963'],Mark Henshaw
81263952,Q136439202,['Q6581072'],[],['Q13381689'],Madina Mukhtorova
81263967,Q3739163,['Q6581097'],['Q211'],[],Konrad von Mandern
81264078,Q135473443,['Q6581072'],['Q96'],['Q25439032'],
81264106,Q136439241,['Q6581097'],[],[],P. K. T. Natarajaan
81264113,Q136439282,['Q6581097'],[],"['Q19204627', 'Q19841381']",Tom Maudlin
81264129,Q136439257,['Q6581097'],[],[],P. Rajarathnam
81264255,Q136439382,['Q6581072'],[],['Q674426'],Sonnet Stanfill
81264282,Q115184749,['Q6581097'],['Q145'],['Q2095549'],Harold White
81264337,Q136439379,['Q6581072'],[],"['Q10800557', 'Q33999']",Kumari Perera
81264338,Q1660874,['Q6581072'],['Q1206012'],"['Q36180', 'Q11900058']",Ina Reck
81264623,Q5866146,['Q6581097'],['Q29'],['Q193391'],Francisco Javier Elorza
81264631,Q136439646,['Q6581097'],[],"['Q10798782', 'Q10800557']",Khayalethu Xaba
81264676,Q136442742,[],[],[],Wang Hao
81264732,Q93415662,['Q6581097'],[],"['Q15472169', 'Q36180', 'Q117348422']",Antoni Gelonch
81264769,Q136439642,['Q6581072'],[],['Q937857'],Nur Lyana
81264888,Q136439824,['Q6581097'],[],['Q937857'],Yohaan Benjamin
81264909,Q112419430,['Q6581072'],[],['Q644687'],Pat Fogarty
81264959,Q136450454,['Q6581097'],[],[],Décio Andrade
81265084,Q136439917,['Q6581097'],[],"['Q49757', 'Q1028181', 'Q17505902']",George Hope Tait
81265198,Q136440065,['Q6581097'],[],['Q937857'],Ollie Bostock
81265225,Q136440054,['Q6581072'],[],[],Amitha Wedisinghe
81265233,Q136440048,['Q6581072'],[],['Q82955'],Ambari Daroueche
81265256,Q108207605,['Q6581072'],['Q145'],['Q2374149'],Rosamund Flora Shove
81265264,Q136440044,['Q6581097'],[],['Q937857'],Abdul Sesay
81265322,Q130382493,['Q6581072'],['Q183'],['Q82955'],Sophie Koch
81265335,Q123111064,['Q6581097'],"['Q212', 'Q858']","['Q2526255', 'Q28389']",Ameer Fakher Eldin
81265391,Q136440415,['Q6581097'],[],['Q13381863'],Malcolm Kerslake
81265474,Q136440186,['Q6581097'],['Q258'],"['Q4009406', 'Q114414171']",Puseletso Mabote
81265559,Q107097970,['Q6581097'],['Q29'],['Q193391'],Francisco Javier Conde de Saro
81265560,Q775341,['Q6581097'],['Q142'],"['Q2526255', 'Q28389', 'Q214917', 'Q36180', 'Q3282637']",Xavier Durringer
81265615,Q113803731,['Q6581072'],[],"['Q901', 'Q593644']",Ruby Kathryn Worner
81265641,Q136440407,['Q6581072'],[],[],Melicent Wathen
81265718,Q136440402,['Q6581097'],['Q928'],"['Q3665646', 'Q5137571']",Jed Colonia
81265821,Q112169767,['Q6581072'],['Q183'],['Q82955'],Enxhi Seli-Zacharias
81266092,Q136440925,['Q6581072'],[],['Q472898'],Zafire Hatun
81266093,Q113731812,['Q6581097'],[],[],Domenico Ottomano
81266135,Q86356452,['Q6581097'],['Q183'],"['Q82955', 'Q189290']",Marco Schulz
81266139,Q108544080,['Q6581097'],['Q45'],['Q11513337'],Etson Barros
81266142,Q58461527,['Q6581097'],['Q39'],"['Q40348', 'Q128304064', 'Q1622272']",Olivier Peter
81266196,Q123257114,['Q6581097'],['Q20'],['Q937857'],Isak Vådebu
81266256,Q136437381,['Q6581097'],['Q928'],['Q250867'],Edwin Oracion Panergo
81266349,Q100882938,['Q6581097'],['Q16'],['Q3665646'],Ken McKenzie
81266351,Q117037273,['Q6581072'],['Q38'],['Q14089670'],Alessandra Frangipani
81266379,Q136440916,['Q6581072'],[],['Q4009406'],Clara Barros
81266450,Q136440909,['Q6581097'],[],[],Andrew Patey
81266454,Q124323060,['Q6581072'],['Q183'],['Q82955'],Jennifer Gießler
81266496,Q64532504,['Q6581097'],['Q29999'],['Q33231'],Cor Vos
81266666,Q12271778,['Q6581097'],[],"['Q3242115', 'Q33231', 'Q37226']",Anastas Lozanchev
81266748,Q1301602,['Q6581097'],"['Q145', 'Q174193']","['Q28389', 'Q36180', 'Q4853732']",Marc Brandel
81266796,Q96185761,['Q6581072'],[],['Q1650915'],Nadezhda M Bulgakova
81266825,Q124303827,['Q6581072'],['Q813'],['Q82955'],Jamilya İsayeva
81266880,Q136463049,['Q6581072'],[],['Q36180'],Tonya Lawani
81266966,Q13035778,['Q6581097'],['Q258'],"['Q33999', 'Q28389', 'Q2526255']",Pierre de Wet
81267000,Q18912262,['Q6581072'],[],"['Q49757', 'Q6625963']",Theda Kenyon
81267002,Q136441798,['Q6581097'],[],"['Q2259451', 'Q33999']",James Pellow
81267158,Q29570171,['Q6581097'],['Q183'],['Q82955'],Alexander Zeyer
81267169,Q95189422,['Q6581072'],['Q145'],['Q33999'],Zuleika Robson
81267183,Q136441818,['Q6581097'],[],[],Louis Bidalira
81267198,Q136442265,['Q6581072'],[],"['Q483501', 'Q488205']",Zee Dyasi
81267277,Q12556779,['Q6581097'],[],['Q82955'],Nurtai Sabilianov
81267409,Q136442260,['Q6581097'],[],['Q937857'],Lisav Eissat
81267479,Q15223009,['Q6581072'],['Q142'],"['Q17344952', 'Q1706722', 'Q1914832']",Christine Rollard
81267605,Q136442258,['Q6581072'],[],[],Yu Si-eun
81267726,Q111432859,['Q6581097'],['Q183'],['Q82955'],Timo Ahr
81267778,Q133864032,['Q6581072'],['Q29'],['Q937857'],Silvia Cristóbal
81267817,Q95143138,['Q6581097'],[],"['Q1930187', 'Q1476215']",Maxence Melo Mubyazi
81267855,Q136442525,[],[],[],James T. Plousis
81267922,Q122971754,['Q6581097'],[],['Q36834'],JBS
81268002,Q133233684,['Q6581072'],['Q183'],['Q82955'],Lena Otto
81268010,Q135927838,['Q6581072'],['Q29'],"['Q2919046', 'Q1650915', 'Q19760296']",Isabel Esaín García
81268117,Q106387757,['Q6581072'],[],"['Q43845', 'Q36180']",Adrien Arpel
81268185,Q136442565,['Q6581097'],[],[],Behrooz Mahmoodi-Bakhtiari
81268254,Q136442721,['Q6581072'],[],[],Delaphine Grace Wyckoff
81268452,Q110613651,['Q6581097'],['Q298'],['Q937857'],Nicolás Garrido
81268463,Q136436362,['Q6581072'],['Q20'],['Q82955'],
81268493,Q135526416,['Q6581072'],['Q213'],['Q82955'],Katerina Demetrashvili
81268501,Q113464755,['Q6581097'],[],"['Q779815', 'Q715301', 'Q36180', 'Q27472738']",Hamish Steele
81268511,Q136443345,['Q6581097'],[],[],David Jeng
81268525,Q120450541,['Q6581072'],[],['Q82955'],Theresa Gröninger
81268531,Q136442917,['Q6581097'],['Q794'],[],Mehran Nikoee Majd
81268633,Q136442912,['Q6581097'],[],"['Q1186921', 'Q10871364']",Wilfredo Calviño
81268754,Q111395564,['Q6581097'],[],['Q82955'],Damhat Sisamci
81268767,Q136442908,['Q6581097'],['Q30'],['Q11303721'],Steven Fisk
81269198,Q2224454,['Q6581072'],['Q183'],['Q82955'],Sarah Philipp
81269244,Q133267450,['Q6581097'],['Q347'],['Q82955'],
81269250,Q136447001,[],[],[],Juan Carlos Sánchez Montes de Oca
81269256,Q115839776,['Q6581097'],['Q155'],['Q82955'],Ricardo Maia
81269331,Q136443072,['Q6581072'],[],[],Heather Spearman
81269351,Q47313677,['Q6581072'],['Q142'],['Q599151'],Maryvonne Le Brignonen
81269380,Q90005677,['Q6581072'],['Q29'],"['Q82955', 'Q40348']",Uxía Tizón Vázquez
81269435,Q10784328,['Q6581097'],['Q1069868'],['Q47064'],Lan Khâm
81269525,Q122224077,['Q6581072'],['Q36'],"['Q864503', 'Q11571698', 'Q1650915', 'Q2251335', 'Q30059961']",Janina Oszast
81269878,Q63313639,['Q6581097'],['Q213'],"['Q82955', 'Q185351']",Štěpán Slovák
81270310,Q1595919,['Q6581097'],['Q183'],['Q846750'],Hein Bollow
81270311,Q91183127,['Q6581072'],[],['Q1650915'],Parisa Saboori
81270363,Q11743864,['Q6581097'],['Q794'],"['Q82955', 'Q39631']",Mirza Mahmud Khan Hakim ol-Molk
81270500,Q105248461,['Q6581097'],[],['Q82955'],William Edward Carson
81270638,Q136443198,['Q6581072'],[],[],Kavita Baruah
81270652,Q47493989,['Q6581097'],['Q717'],['Q82955'],Luis Stefanelli
81270695,Q136098962,['Q6581097'],['Q213'],['Q82955'],Benjamin Činčila
81270729,Q5798157,['Q6581097'],['Q77'],"['Q39631', 'Q82955']",Daniel Bianchi
81270745,Q136437326,['Q6581097'],['Q213'],"['Q131717117', 'Q82955']",Jiří Vojáček
81270746,Q136443194,['Q6581097'],[],['Q937857'],Hasan Farhat
81270759,Q108198164,['Q6581097'],['Q172579'],['Q82955'],Achille Enoc Mariano
81270785,Q22665712,['Q6581097'],['Q30'],['Q33999'],Clement Fowler
81270887,Q136447003,[],[],[],Fátima Vila Nova
81271039,Q136447008,[],[],[],Hồ Văn Ngà
81271054,Q11310442,['Q6581097'],['Q148'],['Q36834'],Julian Yu
81271840,Q136443603,['Q6581097'],[],['Q937857'],Bogdan Budko
81271842,Q136443602,['Q6581097'],[],['Q937857'],Nureli Abbas
81272000,Q122055104,['Q6581097'],['Q30'],['Q36180'],Mark Oshiro
81272068,Q136443590,['Q6581097'],['Q948'],['Q4009406'],Mohamed Nidhal Khelifi
81272152,Q11644523,['Q6581097'],['Q17'],['Q733786'],
81272210,Q11644544,['Q6581097'],['Q17'],['Q854997'],Unshō
81272689,Q136443759,['Q6581097'],[],['Q1930187'],Frederick N. Rasmussen
81272706,Q136443757,['Q6581097'],[],['Q178197'],Rustom Jung
81272905,Q136443814,['Q6581097'],[],['Q82955'],Alfred Gangata
81272968,Q124751557,['Q6581097'],[],['Q82955'],Javad Hajizadeh Kalajahi
81273037,Q60287289,['Q6581097'],['Q43'],['Q2182752'],Emin Moğulkoç
