pageid,qid,P21,P27,P106,label_en
81232527,Q136412937,['Q6581072'],[],"['Q177220', 'Q386854', 'Q639669']",Graciela Salgado
81232551,Q136411798,['Q6581097'],['Q145'],[],
81232562,Q136413127,['Q6581072'],[],['Q39631'],Sadie Bay Adair
81232605,Q59390390,['Q6581097'],['Q27'],"['Q49757', 'Q2252262']",Séamus Barra Ó Súilleabháin
81232606,Q136428347,['Q6581097'],[],[],Parker West
81232637,Q16383389,['Q6581097'],['Q30'],['Q42843876'],Sam Silverman
81232699,Q136413121,['Q6581097'],[],[],Keith Gorman
81232706,Q135991670,['Q6581072'],['Q16'],['Q14089670'],Rachel Smith
81232713,Q136413118,['Q6581097'],[],[],Trevian Thomas
81232718,Q136412961,['Q6581072'],['Q30'],"['Q36180', 'Q15949613', 'Q6625963', 'Q11774202', 'Q214917']",Annie Steger Winston
81232848,Q136428376,['Q6581097'],[],[],S. Asef Hossaini
81232863,Q108881806,['Q6581097'],['Q183'],['Q82955'],Jean-Pascal Hohm
81232995,Q88032748,['Q6581097'],[],['Q1650915'],Anthony Letai
81233010,Q11427877,['Q6581097'],['Q17'],['Q488205'],Kōhei Dōjima
81233024,Q136414722,['Q6581072'],[],['Q82955'],Rhona Charbonneau
81233080,Q124642239,['Q6581097'],[],[],Dustin Thao
81233149,Q22111840,['Q6581072'],"['Q145', 'Q174193']",['Q17344952'],Frances Murphy
81233172,Q136413565,['Q6581097'],[],[],Mohammad al-Hasani
81233177,Q136428370,['Q6581097'],[],[],Goitse Konopi
81233259,Q136414629,['Q6581097'],[],"['Q6625963', 'Q17125263', 'Q36180']",Piotr Kosek
81233263,Q130385400,['Q6581072'],['Q183'],['Q82955'],Lena-Sophie Laue
81233288,Q136428358,['Q6581097'],[],[],Eric Skotnes
81233453,Q136328028,['Q6581072'],[],['Q2526255'],
81233741,Q136428354,['Q6581097'],[],[],Al Kingsley
81233920,Q28381212,['Q6581097'],['Q811'],"['Q82955', 'Q212238']",Denis Moncada
81234011,Q2142978,['Q6581097'],[],['Q2566598'],Remigius of Strasbourg
81234037,Q136416389,['Q6581072'],['Q145'],['Q114414171'],Victoria Levitt
81234050,Q5868556,['Q6581097'],['Q30'],"['Q2374149', 'Q2083925', 'Q33112416']",Frank Walton Gould
81234088,Q16944272,['Q6581072'],['Q30'],['Q36180'],Clara Elizabeth Fanning
81234131,Q136413636,['Q6581097'],['Q29'],['Q193391'],José Núñez Iglesias
81234171,Q769142,['Q6581097'],['Q183'],['Q11900058'],Augusto Berns
81234214,Q2575927,['Q6581097'],['Q142'],"['Q250867', 'Q611644']",Wilhelm von Hohnstein
81234277,Q136416509,['Q6581072'],['Q145'],['Q114414171'],Bebe Jackson
81234327,Q130543557,['Q6581072'],['Q38'],['Q488205'],Chiamamifaro
81234477,Q3010195,['Q6581072'],[],[],Céline de Laon
81234557,Q130319799,['Q6581072'],[],['Q36180'],Virginia Tangvald
81234559,Q136416669,['Q6581097'],[],[],Douglas M. Kruhm
81234595,Q100926476,['Q6581097'],['Q30'],['Q3665646'],Xavian Stapleton
81234676,Q136416791,['Q6581097'],[],[],"Mukesh Kumar Meshram, IAS"
81234707,Q3403378,['Q6581097'],[],['Q725440'],Prince de Soissons
81234736,Q136432723,['Q6581097'],[],[],Leonard Anthony Bracken Jr.
81234759,Q95379009,['Q6581072'],['Q33946'],"['Q11063', 'Q12094958']",Bohumila Bednářová
81234785,Q1403901,['Q6581097'],['Q668'],"['Q1622272', 'Q98833890']",Felix Wilfred
81234853,Q136434497,['Q6581072'],[],['Q488205'],Ellie Banke
81234854,Q3263973,['Q6581097'],[],['Q725440'],Loup of Soissons
81234856,Q136416675,['Q6581072'],['Q30'],['Q3354501'],Gertrude Stanton
81234911,Q136428369,['Q6581097'],[],[],Leonid Ivanovic
81234982,Q55237146,['Q6581097'],[],['Q49757'],Brook Emery
81235144,Q111967007,['Q6581097'],['Q183'],['Q82955'],Patrick Pender
81235282,Q48946774,['Q6581097'],['Q155'],['Q82955'],Nicolau Júnior
81235332,Q1027406,['Q6581072'],['Q142'],['Q82955'],Fanélie Carrey-Conte
81235409,Q130321148,['Q6581072'],['Q29'],['Q82955'],Ainhoa Molina
81235494,Q30904782,['Q6581097'],['Q77'],['Q82955'],Amin Niffouri
81235552,Q136416991,['Q6581097'],[],['Q937857'],Axel Arce
81235735,Q46474499,['Q6581072'],['Q30'],['Q52899051'],Yu Shen
81236014,Q136417030,['Q6581097'],['Q617602'],['Q957729'],Yahya Barzaq
81236068,Q133682751,['Q6581097'],['Q17'],['Q937857'],Seiga Sumi
81236303,Q136417043,['Q6581097'],[],['Q4009406'],Alexandros Diamantis Skourtis
81236343,Q136417054,['Q6581097'],['Q265'],['Q114414171'],Jasur Khodjaev
81236516,Q136417068,['Q6581097'],['Q262'],['Q114414171'],Mohamed Nadjib Amchi
81236585,Q109016439,['Q6581097'],[],['Q2526255'],Santiago Menghini
81236602,Q136417087,['Q6581097'],[],['Q82955'],Volodymyr Leontiev
81236666,Q132794852,['Q6581072'],['Q38'],['Q488205'],Antonia
81236710,Q136417086,['Q6581097'],[],[],Abdelhadi Boudra
81236857,Q94608976,['Q6581097'],['Q833'],['Q6673651'],Zainal Rashid Ahmad
81236934,Q136417132,['Q6581097'],[],[],Meshal Mahutan
81236945,Q136437399,['Q6581072'],[],[],Noriko Tsuiki
81236956,Q50299027,['Q6581097'],['Q869'],['Q10798782'],Peemapol Panichtamrong
81237033,Q136417131,['Q6581097'],[],[],Mehmet Emin Eğilmez
81237048,Q136417129,['Q6581097'],[],[],Pablito Perez
81237060,Q136417127,['Q6581097'],[],['Q19204627'],Zahir Mathis
81237220,Q136417230,['Q6581097'],[],"['Q5716684', 'Q28971125']",Melvin Sutton
81237287,Q136428360,['Q6581097'],[],[],Yorghaki
81237292,Q10379740,['Q6581097'],[],"['Q39631', 'Q1231865', 'Q36180', 'Q333634', 'Q2516866']",Adam Huber z Riesenpachu
81237468,Q136417332,['Q6581097'],[],['Q51536424'],Luo Xingchuan
