region,creation_year,female_share,US,Post,US_Post
Europe,2015.0,25.974676300164536,0,0,0
Europe,2016.0,31.30290879001973,0,0,0
Europe,2017.0,29.47686116700201,0,1,0
Europe,2018.0,30.691325407309556,0,1,0
Europe,2019.0,30.80712124410668,0,1,0
US,2015.0,30.82484000948092,1,0,0
US,2016.0,32.866065232477446,1,0,0
US,2017.0,32.61417764079574,1,1,1
US,2018.0,35.438238296631184,1,1,1
US,2019.0,35.55648186744477,1,1,1
