year,gini,hhi,shannon,n_categories
2015.0,-0.7045008123986711,3081.4092147999686,1.455232030091281,11
2016.0,-0.727571537813992,3489.0951954962147,1.3691033879816943,11
2017.0,-0.6846205049771088,2885.1987717432858,1.5094900654461876,11
2018.0,-0.7077902300242969,3240.2422450969307,1.4320226319486347,11
2019.0,-0.7008761903501619,3219.8266630485055,1.4442882624824018,11
2020.0,-0.6847472839918919,3062.4713121015047,1.4738411999786882,11
2021.0,-0.6700694885648264,2854.580664322268,1.5265972841382383,11
2022.0,-0.6338650381593425,2328.605871967681,1.624194010046492,11
2023.0,-0.6209898666719251,2248.0453931050924,1.6433347150456024,11
2024.0,-0.6325887007021175,2301.2863101616335,1.6224702075717168,11
2025.0,-0.6071488057563543,2122.851195165934,1.6814723397100655,11
