creation_year,continent,count,yearly_total,bio_share,pop_share,LQ,gap_pp
2015.0,Africa,1708,38136,4.47870778267254,17.2,0.26038998736468255,-12.72129221732746
2015.0,Asia,7725,38136,20.25645059786029,59.5,0.34044454786319817,-39.243549402139706
2015.0,Europe,13979,38136,36.655653450807634,9.6,3.818297234459129,27.055653450807633
2015.0,North America,11274,38136,29.56261799874135,7.7,3.8393010387975774,21.86261799874135
2015.0,Oceania,1721,38136,4.512796307950493,0.6,7.521327179917489,3.9127963079504933
2015.0,South America,1729,38136,4.533773861967695,5.4,0.8395877522162397,-0.8662261380323057
2016.0,Africa,2016,40832,4.93730407523511,17.2,0.2870525625136692,-12.26269592476489
2016.0,Asia,9320,40832,22.825235109717866,59.5,0.3836173968019809,-36.674764890282134
2016.0,Europe,15711,40832,38.47717476489028,9.6,4.008039038009405,28.877174764890277
2016.0,North America,9527,40832,23.33219043887147,7.7,3.0301546024508403,15.632190438871472
2016.0,Oceania,2076,40832,5.084247648902821,0.6,8.473746081504702,4.484247648902821
2016.0,South America,2182,40832,5.343847962382445,5.4,0.9896014745152676,-0.05615203761755527
2017.0,Africa,1636,35708,4.581606362719839,17.2,0.2663724629488279,-12.61839363728016
2017.0,Asia,7192,35708,20.141144841492103,59.5,0.3385066359914639,-39.35885515850789
2017.0,Europe,13916,35708,38.97165901198611,9.6,4.059547813748553,29.37165901198611
2017.0,North America,9227,35708,25.84014786602442,7.7,3.3558633592239504,18.14014786602442
2017.0,Oceania,1759,35708,4.926066987789851,0.6,8.210111646316419,4.326066987789852
2017.0,South America,1978,35708,5.5393749299876776,5.4,1.0258101722199402,0.1393749299876772
2018.0,Africa,1424,35376,4.025327905924921,17.2,0.23403069220493727,-13.174672094075078
2018.0,Asia,7423,35376,20.983152419719584,59.5,0.35265802386083334,-38.51684758028041
2018.0,Europe,13626,35376,38.51763907734057,9.6,4.01225407055631,28.917639077340567
2018.0,North America,8803,35376,24.88410221619177,7.7,3.2317015865184118,17.18410221619177
2018.0,Oceania,1773,35376,5.0118724559023065,0.6,8.353120759837179,4.411872455902307
2018.0,South America,2327,35376,6.5779059249208505,5.4,1.2181307268371944,1.1779059249208501
2019.0,Africa,1676,35436,4.729653459758438,17.2,0.2749798523115371,-12.470346540241561
2019.0,Asia,6819,35436,19.24314256688114,59.5,0.3234141607879183,-40.25685743311886
2019.0,Europe,14211,35436,40.1032847951236,9.6,4.177425499492042,30.503284795123598
2019.0,North America,8843,35436,24.954848176995146,7.7,3.240889373635733,17.254848176995147
2019.0,Oceania,1464,35436,4.1313918049441245,0.6,6.885653008240208,3.5313918049441244
2019.0,South America,2423,35436,6.837679196297551,5.4,1.2662368882032502,1.4376791962975508
2020.0,Africa,2057,34635,5.939078966363505,17.2,0.3452952887420643,-11.260921033636494
2020.0,Asia,6773,34635,19.555363072036958,59.5,0.32866156423591525,-39.944636927963046
2020.0,Europe,13486,34635,38.93749097733507,9.6,4.055988643472403,29.337490977335065
2020.0,North America,8712,34635,25.153746210480726,7.7,3.266720287075419,17.453746210480727
2020.0,Oceania,1795,34635,5.182618738270536,0.6,8.63769789711756,4.582618738270536
2020.0,South America,1812,34635,5.231702035513209,5.4,0.9688337102802238,-0.16829796448679168
2021.0,Africa,2047,31672,6.463122000505178,17.2,0.37576290700611503,-10.736877999494821
2021.0,Asia,6164,31672,19.461985349835818,59.5,0.3270921907535432,-40.038014650164186
2021.0,Europe,12851,31672,40.57527153321546,9.6,4.226590784709944,30.975271533215455
2021.0,North America,7068,31672,22.31624147511998,7.7,2.89821317858701,14.616241475119981
2021.0,Oceania,1371,31672,4.32874463248295,0.6,7.2145743874715835,3.72874463248295
2021.0,South America,2171,31672,6.854635008840616,5.4,1.2693768534890029,1.454635008840616
2022.0,Africa,923,21411,4.310868245294475,17.2,0.25063187472642295,-12.889131754705524
2022.0,Asia,4517,21411,21.09663257204241,59.5,0.35456525331163713,-38.40336742795759
2022.0,Europe,8291,21411,38.72308626406987,9.6,4.033654819173945,29.12308626406987
2022.0,North America,5605,21411,26.178132735509784,7.7,3.3997574981181535,18.478132735509785
2022.0,Oceania,972,21411,4.539722572509458,0.6,7.566204287515763,3.939722572509458
2022.0,South America,1103,21411,5.151557610574004,5.4,0.953992150106297,-0.24844238942599617
2023.0,Africa,981,18781,5.223364038123635,17.2,0.3036839557048625,-11.976635961876365
2023.0,Asia,3885,18781,20.68579947819605,59.5,0.3476604954318664,-38.814200521803954
2023.0,Europe,6762,18781,36.004472605292584,9.6,3.7504658963846444,26.404472605292582
2023.0,North America,4936,18781,26.28188062403493,7.7,3.413231249874666,18.58188062403493
2023.0,Oceania,839,18781,4.467280762472712,0.6,7.445467937454521,3.867280762472712
2023.0,South America,1378,18781,7.337202491880092,5.4,1.358741202200017,1.9372024918800914
2024.0,Africa,1017,23093,4.403931927423894,17.2,0.25604255391999386,-12.796068072576105
2024.0,Asia,5863,23093,25.388645910016024,59.5,0.4266999312607735,-34.111354089983976
2024.0,Europe,8772,23093,37.985536742735896,9.6,3.956826744034989,28.385536742735894
2024.0,North America,5276,23093,22.84675009743212,7.7,2.967110402263912,15.146750097432122
2024.0,Oceania,951,23093,4.118131035378686,0.6,6.863551725631143,3.5181310353786857
2024.0,South America,1214,23093,5.257004287013381,5.4,0.9735193124098853,-0.14299571298661906
2025.0,Africa,1001,14777,6.774040738986263,17.2,0.3938395778480385,-10.425959261013737
2025.0,Asia,3015,14777,20.403329498545038,59.5,0.342913100815883,-39.096670501454966
